Map Name:cine
Map Type:0
Holo Sign:0.0, 5.0, -56.0*mapa echo por: SAM_OFFICIAL *canal de youtube @sam_official911* *qué disfrutes el mapa con tus amigos ;)*
Camera Pos:-22.85, 17.90, -51.02:11.52, 32.96, 0.84
Chat Cooldown: 0.0
Max Vehicle Count: 16
Fuel Consume Rate: 2
Delete Idle Vehicle: -1
Vehicle Collision: true
Health Regeneration: true
Hide Names: false
Allow Respawn: true
Voice-Chat: enabled
Vote For Role: disabled
Role-play: disabled
Approve On Register: false
Roles List:<color=yellow>[TAXI]</color>,<color=#C7C>[WORKER]</color>,[BUILDER],<color=green>[DOCTOR]</color>,<color=orange>[MECHANIC]</color>,<color=blue>[POLICE]</color>,<color=#FF00CC>[MODERATOR]</color>,<color=red>[ADMIN]</color>,
Point_Light_Editor:0.00,15.70,-60.00:0.00,0.00,0.00:2.10,0.60,2.00:color{1.00,1.00,1.00} light{35,30,1,1}
Block_Scalable_Editor:20.00,31.00,-42.00:0.00,0.00,0.00:1.00,0.10,1.00:color{1.00,1.00,1.00}
Block_Scalable_Editor:15.00,31.00,-42.00:0.00,0.00,0.00:1.00,0.10,1.00:color{1.00,1.00,1.00}
Block_Scalable_Editor:10.00,31.00,-42.00:0.00,0.00,0.00:1.00,0.10,1.00:color{1.00,1.00,1.00}
Block_Scalable_Editor:5.00,31.00,-42.00:0.00,0.00,0.00:1.00,0.10,1.00:color{1.00,1.00,1.00}
Block_Scalable_Editor:0.00,31.00,-42.00:0.00,0.00,0.00:1.00,0.10,1.00:color{1.00,1.00,1.00}
Block_Scalable_Editor:-5.00,31.00,-42.00:0.00,0.00,0.00:1.00,0.10,1.00:color{1.00,1.00,1.00}
Block_Scalable_Editor:-10.00,31.00,-42.00:0.00,0.00,0.00:1.00,0.10,1.00:color{1.00,1.00,1.00}
Block_Scalable_Editor:20.00,31.00,-37.00:0.00,0.00,0.00:1.00,0.10,1.00:color{1.00,1.00,1.00}
Block_Scalable_Editor:15.00,31.00,-37.00:0.00,0.00,0.00:1.00,0.10,1.00:color{1.00,1.00,1.00}
Block_Scalable_Editor:10.00,31.00,-37.00:0.00,0.00,0.00:1.00,0.10,1.00:color{1.00,1.00,1.00}
Block_Scalable_Editor:5.00,31.00,-37.00:0.00,0.00,0.00:1.00,0.10,1.00:color{1.00,1.00,1.00}
Block_Scalable_Editor:0.00,31.00,-37.00:0.00,0.00,0.00:1.00,0.10,1.00:color{1.00,1.00,1.00}
